id,split,V,A,D,text,VADER_neg,VADER_neu,VADER_pos,VADER_compound,TextBlob_polarity,TextBlob_subjectivity,AFINN,map_from_VAD,map_from_lex
110CYL068_2040_2141,train,3.57,3.29,3.29,"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3,3
110CYL068_2141_2194,train,2.88,3.0,3.25,I rode a bike to Goodwill in the rain and snow.,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5,3
110CYL068_2195_2216,train,2.7,3.3,2.9,I wanted to be there.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,3
110CYL068_2216_2266,train,3.5,3.5,3.75,"..I had my second chance to change my life.""",0.0,0.8,0.2,0.25,0.0,0.0,2.0,3,3
110CYL068_2273_2373,train,3.63,3.25,3.37,Your gift to Goodwill will help the many people who want to tell their own stories of success.,0.0,0.569,0.431,0.8625,0.4666666666666667,0.5,10.0,3,3
110CYL068_2374_2413,train,3.7,3.4,3.3,Your support will help them go to work.,0.0,0.526,0.474,0.6597,0.0,0.0,4.0,3,3
110CYL068_2420_2501,train,3.5,3.4,3.2,Please use the enclosed envelope to give a generous gift to Goodwill today!,0.0,0.506,0.494,0.8313,0.0,0.0,8.0,3,3
110CYL068_2525_2582,train,3.1,2.5,3.2,"William A Carter, Chairman Goodwill Industries Foundation",0.0,1.0,0.0,0.0,0.0,0.0,3.0,3,3
110CYL068_2594_2642,train,3.5,2.87,3.25,Your gift is a wise investment in the community.,0.0,0.5,0.5,0.7184,0.7,0.9,2.0,3,3
110CYL068_2643_2750,train,3.88,3.37,3.38,"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102.",0.0,1.0,0.0,0.0,0.0,0.0,5.0,3,3
110CYL068_2751_2841,train,3.25,3.12,3.25,"That money was then spent in a variety of ways, adding fuel to our thriving economy.",0.0,1.0,0.0,0.0,-0.1,0.1,0.0,3,3
110CYL068_276_386,dev,3.7,3.1,3.3,"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.",0.0,1.0,0.0,0.0,-0.4,0.6,0.0,3,4
110CYL068_31_156,train,3.4,3.0,3.1,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.,0.0,0.738,0.262,0.7506,0.0499999999999999,0.05,7.0,3,3
110CYL068_387_522,train,3.37,3.18,3.37,"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.",0.0,0.795,0.205,0.5994,0.0,0.0666666666666666,7.0,3,3
110CYL068_523_653,train,3.6,2.9,3.4,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.,0.0,0.629,0.371,0.8807,0.3,0.45,11.0,3,3
110CYL068_660_695,train,3.0,2.55,2.82,What kind of work does Goodwill do?,0.0,1.0,0.0,0.0,0.6,0.9,3.0,3,3
110CYL068_702_771,train,3.29,3.0,3.0,Goodwill finds jobs for people with mental and physical disabilities.,0.0,1.0,0.0,0.0,-0.05,0.1714285714285714,1.0,3,3
110CYL068_778_1035,train,3.43,3.29,3.29,"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.",0.0,1.0,0.0,0.0,-0.0333333333333333,0.1142857142857142,-2.0,3,2
110CYL069_1152_1284,train,3.6,3.2,3.2,"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:",0.062,0.581,0.357,0.7964,0.2272727272727272,0.5454545454545454,3.0,3,3
110CYL069_1285_1401,train,3.4,3.2,3.0,"The business community welcomes not only another worker, but a consumer with increased purchasing power.",0.0,0.727,0.273,0.5423,0.0,1.0,3.0,3,3
110CYL069_1402_1477,train,3.0,2.9,3.2,Parents act as role models of self-sufficiency instead of dependency.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL069_1478_1554,train,3.12,3.0,3.0,Tax dollars that would have been spent on public assistance are saved.,0.0,0.797,0.203,0.4215,-0.05,0.0833333333333333,2.0,3,3
110CYL069_1561_1631,train,2.7,2.8,3.4,You and I know that solutions to difficult problems don't just happen.,0.349,0.537,0.114,-0.5423,-0.5,1.0,-2.0,2,4
110CYL069_1638_1786,train,3.8,3.4,3.3,"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:",0.047,0.769,0.184,0.6258,0.2694444444444444,0.8138888888888888,7.0,3,3
110CYL069_1793_1857,dev,3.0,2.62,3.12,A Goodwill staff member addresses a group of welfare recipients:,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3,3
110CYL069_1858_1935,dev,3.0,2.86,3.29,"""You can earn the money to support yourself and your family,"" she says.",0.0,0.816,0.184,0.4019,0.0,0.0,2.0,3,3
110CYL069_18_35,train,3.1,3.1,3.1,"November 15, 1996",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL069_1936_1967,train,3.0,3.1,3.2,"""You can get off welfare.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3
110CYL069_1968_1985,train,3.12,3.0,3.37,I know you can...,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL069_1986_1993,train,3.1,3.1,3.2,"I did.""",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL069_2000_2165,train,3.0,2.86,3.14,A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.,0.0,0.905,0.095,0.296,0.0,0.0,4.0,3,3
110CYL069_207_260,train,2.82,2.73,3.27,His job objectives call for him to do it in 30.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3
110CYL069_2166_2322,train,3.46,3.55,3.18,"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.",0.073,0.927,0.0,-0.2263,0.25,0.3333333333333333,-2.0,3,2
110CYL069_2329_2471,train,3.27,3.09,3.18,"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.",0.0,0.876,0.124,0.4019,-0.1,0.1,8.0,3,3
110CYL069_2552_2596,train,3.09,2.91,3.0,At the next corner he tells five more.,0.0,1.0,0.0,0.0,0.25,0.25,0.0,3,3
110CYL069_2603_2727,train,3.11,2.89,3.0,"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.",0.075,0.925,0.0,-0.0772,-0.3333333333333333,0.6666666666666666,1.0,3,3
110CYL069_267_291,test,2.86,3.29,3.29,He has no time to waste.,0.556,0.444,0.0,-0.6124,-0.2,0.0,-2.0,4,4
110CYL069_2728_2826,train,2.62,2.88,2.88,It takes a long time for him to gain the self-confidence to work elsewhere in the community.,0.0,0.815,0.185,0.5267,-0.05,0.4,4.0,4,3
110CYL069_2833_2895,train,3.11,3.0,3.22,"Eventually, he turns your support into a payoff for all of us.",0.0,0.787,0.213,0.4019,0.0,0.0,2.0,3,3
110CYL069_2896_2948,dev,3.5,3.17,3.33,He proudly leaves Goodwill to support himself.,0.0,0.442,0.558,0.743,0.8,1.0,7.0,3,3
110CYL069_2955_2997,train,3.25,3.12,3.5,These people and their successes are real.,0.0,0.625,0.375,0.5574,0.2,0.3,0.0,3,3
110CYL069_298_312,train,3.0,3.0,3.2,Neither do we.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL069_2998_3069,train,3.0,2.8,3.1,Just like the respect we've earned from U.S. News & World Report.,0.0,0.616,0.384,0.6808,0.0,0.0,4.0,3,3
110CYL069_313_453,test,3.4,3.1,3.4,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",0.0,0.707,0.293,0.8074,0.0,0.1,7.0,3,3
110CYL069_3141_3151,train,3.0,3.1,3.2,Real work.,0.0,1.0,0.0,0.0,0.2,0.3,0.0,5,3
110CYL069_3152_3165,test,3.0,2.6,3.1,Real results.,0.0,1.0,0.0,0.0,0.2,0.3,0.0,3,3
110CYL069_3166_3231,train,3.1,3.2,3.1,A real difference in people's lives -- in all of our lives.,0.0,1.0,0.0,0.0,0.2,0.3,0.0,3,3
110CYL069_3238_3328,train,3.12,3.25,3.38,The people who can benefit most directly from your generosity have no time to waste.,0.224,0.493,0.283,0.3182,0.1333333333333333,0.3,0.0,3,3
110CYL069_3329_3408,train,3.56,3.11,3.11,Neither do the rest of us who feel the positive results of their success.,0.0,0.622,0.378,0.8074,0.2636363636363636,0.2727272727272727,4.0,3,3
110CYL069_3409_3451,test,3.4,2.9,3.0,Your support helps provide real solutions.,0.0,0.3,0.7,0.7184,0.2,0.3,5.0,3,3
110CYL069_3458_3552,dev,3.0,3.0,3.0,Please use the enclosed response card and envelope to give generously to Goodwill today.,0.0,0.702,0.298,0.6249,0.0,0.0,6.0,3,3
110CYL069_3590_3635,train,3.0,2.75,3.0,Jack Dustman Board Member and Former Chairman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL069_460_512,train,3.29,3.29,3.57,We don't waste time as we are helping the community.,0.0,0.638,0.362,0.5472,-0.2,0.0,1.0,3,3
110CYL069_513_544,train,3.1,3.0,3.5,And we don't waste money.,0.0,0.632,0.368,0.3252,-0.2,0.0,-1.0,3,3
110CYL069_545_682,test,3.2,3.0,2.9,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",0.0,0.812,0.188,0.6249,0.0,0.0,4.0,3,3
110CYL069_689_842,train,3.57,3.43,3.29,"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys.""",0.0,0.66,0.34,0.8834,0.85,0.45,9.0,3,3
110CYL069_69_206,train,3.4,3.1,3.4,"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.",0.0,0.88,0.12,0.4576,0.1833333333333333,0.5,5.0,3,3
110CYL069_843_964,train,3.4,3.1,3.3,"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable.""",0.0,0.633,0.367,0.7964,0.325,0.725,7.0,3,3
110CYL069_971_1145,train,2.9,3.3,3.1,"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.",0.074,0.574,0.352,0.8481,0.35,0.65,9.0,5,3
110CYL070_1013_1100,train,2.9,3.1,3.1,And there are a lot of people who face these challenges every day of their lives.,0.0,0.915,0.085,0.0772,0.0,0.0,0.0,5,3
110CYL070_1101_1127,train,3.14,3.0,3.29,So our work must continue.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL070_1134_1181,train,3.5,2.9,3.1,Everyone benefits from the work we do together.,0.0,0.729,0.271,0.3818,0.0,0.0,2.0,3,3
110CYL070_1182_1214,train,2.9,3.1,3.1,Many people need our help.,0.0,0.597,0.403,0.4019,0.5,0.5,2.0,5,3
110CYL070_1221_1263,train,3.0,3.0,3.0,Please continue our important partnership.,0.0,0.423,0.577,0.4767,0.4,1.0,3.0,3,3
110CYL070_1264_1318,train,3.14,3.0,3.29,Support Goodwill with a generous donation today.,0.0,0.4,0.6,0.7184,0.0,0.0,9.0,3,3
110CYL070_135_187,train,3.7,3.1,3.4,We've helped people break free of the welfare cycle.,0.0,0.708,0.292,0.5106,0.4,0.8,1.0,3,3
110CYL070_188_263,train,3.38,3.25,3.38,We've found ways for people with disabilities to enter the workforce.,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,3,2
110CYL070_18_35,train,3.0,2.7,2.9,"December 10, 1996",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL070_264_371,train,3.4,3.1,3.1,We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.,0.0,1.0,0.0,0.0,0.5,0.5,3.0,3,3
110CYL070_378_418,train,3.1,3.1,3.1,"Of course, we've played different roles.",0.0,0.676,0.324,0.34,0.0,0.6,0.0,3,3
110CYL070_419_498,train,3.6,2.9,3.1,You have helped make Goodwill's work possible with your previous support.,0.0,0.787,0.213,0.4019,-0.0833333333333333,0.5833333333333334,5.0,3,3
110CYL070_42_72,dev,3.0,3.0,3.0,Dear Mailhouse donor reminder:,0.0,0.536,0.464,0.3818,0.0,0.0,2.0,3,3
110CYL070_499_580,train,3.2,2.8,3.0,Goodwill has devised the programs that turned your investment into results.,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3,3
110CYL070_587_626,dev,3.0,3.4,3.1,Who has benefited from our partnership?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3
110CYL070_627_640,train,2.9,3.1,3.1,Everyone has.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3
110CYL070_641_833,train,3.6,3.0,3.5,"When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.",0.0,0.816,0.184,0.7269,0.1333333333333333,0.2222222222222222,4.0,3,3
110CYL070_79_128,train,3.6,3.1,3.1,You and I have done some important work together.,0.0,0.795,0.205,0.2023,0.4,1.0,2.0,3,3
110CYL070_840_1012,train,2.67,2.89,3.11,"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.",0.091,0.909,0.0,-0.3182,-0.05,0.1714285714285714,-2.0,4,4
110CYL071_1114_1167,test,3.78,3.33,3.33,"At last, he has found success in a job that he loves.",0.0,0.549,0.451,0.8126,0.15,0.0333333333333333,5.0,3,3
110CYL071_1168_1224,train,3.1,3.1,3.1,Now his goals are set on moving up in the company.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL071_1231_1280,train,3.12,3.25,3.12,"Every year, thousands of people come to Goodwill.",0.0,1.0,0.0,0.0,0.0,0.0,3.0,3,3
110CYL071_1281_1339,train,2.86,3.29,3.14,"Like Michael, they share two common characteristics.",0.0,0.515,0.485,0.5719,-0.3,0.5,3.0,4,3
110CYL071_1340_1405,train,3.0,2.7,3.0,They face some barrier to employment and they want to work.,0.127,0.763,0.11,-0.0516,0.0,0.0,-1.0,3,5
110CYL071_1412_1547,train,3.38,3.5,3.63,"With support from people like you, they can overcome their barriers and earn success and the self-sufficiency that comes with it.",0.0,0.669,0.331,0.836,0.3,0.0,6.0,3,3
110CYL071_1548_1607,train,3.38,3.0,3.12,And then the pay-off begins for the entire community.,0.0,1.0,0.0,0.0,0.0,0.625,-1.0,3,5
110CYL071_1720_1830,train,3.4,3.1,3.0,"Last year, participants in Goodwill programs earned --and paid taxes on -- wages of nearly $3.5 million.",0.0,1.0,0.0,0.0,0.05,0.2333333333333333,3.0,3,3
110CYL071_175_239,train,3.3,3.3,3.1,Michael Sims felt that way at age 39 -- the day he earned a job.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL071_1837_1955,test,3.7,2.9,3.3,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,0.0,0.686,0.314,0.7506,0.25,0.2833333333333333,2.0,3,3
110CYL071_18_35,train,3.0,2.2,2.8,"November 15, 1994",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL071_1962_2031,test,3.0,2.38,3.38,"The savings are counted in more ways than dollars and cents, however.",0.0,1.0,0.0,0.0,0.5,0.5,1.0,3,3
110CYL071_2038_2263,train,3.2,2.9,3.0,"The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food -- without food stamps -- and the beginning of a family focused on success, not hopelessness.",0.0,0.78,0.22,0.8623,0.1909090909090909,0.3181818181818182,4.0,3,3
110CYL071_2270_2322,train,3.0,3.3,3.1,Won't you help make all of these successes possible?,0.176,0.544,0.28,0.3274,0.0,1.0,5.0,5,3
110CYL071_2323_2391,dev,2.8,2.8,3.3,Please send the largest contribution you can comfortably make.,0.0,0.579,0.421,0.6249,0.4,0.8,3.0,5,3
110CYL071_2392_2518,test,3.6,3.2,3.1,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,0.0,0.683,0.317,0.8519,0.2181818181818181,0.2272727272727272,6.0,3,3
110CYL071_246_283,test,2.14,3.14,2.86,Michael was born with cerebral palsy.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,3
110CYL071_2583_2616,train,3.64,3.37,3.45,Your gift will make a difference.,0.0,0.58,0.42,0.4404,0.0,0.0,2.0,3,3
110CYL071_2617_2795,train,3.6,3.2,3.2,"For every dollar of public support Goodwill received last year, we returned $1.59 to the community in the form of earned wages and reduced public assistance payments.",0.0,0.906,0.094,0.4019,0.0,0.0666666666666666,5.0,3,3
110CYL071_284_391,dev,3.3,3.2,3.0,"Upon entering the work force, he discovered few job opportunities that seemed to match his abilities.",0.0,0.753,0.247,0.5574,-0.2,0.1,4.0,3,3
110CYL071_398_457,train,3.0,2.8,3.1,For several years he performed packaging and clerical work.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL071_458_550,test,2.38,3.0,2.88,His most recent job lasted only a year before cut-backs eliminated his position.,0.0,1.0,0.0,0.0,0.1666666666666666,0.5833333333333334,0.0,4,3
110CYL071_557_605,train,2.22,3.11,2.89,For 18 long months Michael could not find a job.,0.0,1.0,0.0,0.0,-0.05,0.4,0.0,4,3
110CYL071_55_94,train,3.44,3.0,3.33,Think of your greatest accomplishments.,0.0,0.488,0.512,0.6369,1.0,1.0,5.0,3,3
110CYL071_606_664,test,2.7,3.1,3.1,He resorted to public assistance dollars to survive.,0.0,1.0,0.0,0.0,0.0,0.0666666666666666,0.0,4,3
110CYL071_665_698,test,3.1,3.1,3.0,"Finally, Michael called Goodwill.",0.0,1.0,0.0,0.0,0.0,1.0,3.0,3,3
110CYL071_705_892,train,3.6,3.1,3.1,"At Goodwill, Michael's counselors felt that his personable demeanor could be a major attribute and identified for him a possible job-match where his people skills could shine.",0.0,1.0,0.0,0.0,0.03125,0.75,3.0,3,3
110CYL071_899_985,train,3.6,3.0,3.2,"After three interviews, Michael proved that he was the right person for the job.",0.0,1.0,0.0,0.0,0.2857142857142857,0.5357142857142857,0.0,3,3
110CYL071_95_168,train,4.0,3.6,3.2,Think of the joy and success they bring to you and your loved ones.,0.0,0.491,0.509,0.9081,0.6,0.3333333333333333,8.0,3,3
110CYL071_986_1107,dev,3.1,2.7,3.0,"As the Clubhouse Monitor at Bent Tree Apartments, he now provides customer service for 50 to 60 tenants each night.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL072_130_264,train,2.6,3.0,2.8,Their complaint: the system discourages working because unemployment provides benefits that many entry-level jobs don't include.,0.354,0.531,0.115,-0.6597,0.1,0.35,-2.0,4,4
110CYL072_18_123,train,3.0,2.8,2.9,Some of the strongest critics of our welfare system are the people who have become dependent on it.,0.104,0.758,0.137,0.1779,0.0,0.0,0.0,3,3
110CYL072_271_313,train,3.1,3.0,3.3,That's where you --and Goodwill --come in.,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3,3
110CYL072_314_412,train,3.25,2.87,2.87,We help people train for and find jobs that make it possible for them to get off of welfare.,0.0,0.87,0.13,0.4019,0.0,1.0,2.0,3,3
110CYL072_413_518,train,3.8,3.3,3.2,"Last year, Goodwill placed 511 people in jobs, more than double the number we placed in 1993.",0.0,0.925,0.075,0.0772,0.1666666666666666,0.1888888888888888,3.0,3,3
110CYL072_525_641,train,2.7,3.1,2.9,"While the debate on welfare reform is gathering like a storm at sea, the people who need jobs are floundering.",0.0,0.878,0.122,0.3612,0.0,0.0,2.0,4,3
110CYL072_642_721,train,3.1,2.8,3.1,We need your support to continue getting people off of public assistance.,0.0,0.803,0.197,0.4019,0.0,0.0666666666666666,2.0,3,3
110CYL072_728_754,train,2.9,3.0,3.0,Welfare is not the answer.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3
110CYL072_755_835,train,2.8,3.0,2.8,And welfare reform is an uncertain solution with an unknown starting date.,0.152,0.69,0.159,0.0258,-0.05,0.35,0.0,5,3
110CYL072_836_851,train,3.87,3.25,3.5,Goodwill works.,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3,3
110CYL072_852_862,train,2.86,3.0,3.43,Right now.,0.0,1.0,0.0,0.0,0.2857142857142857,0.5357142857142857,0.0,5,3
110CYL072_869_924,train,3.2,3.0,3.0,Please give the largest gift you can to Goodwill today.,0.0,0.606,0.394,0.6369,0.0,0.0,6.0,3,3
110CYL072_931_969,train,3.0,2.8,3.0,"Sincerely, Jack Dustman Chairman",0.0,0.492,0.508,0.4767,0.5,0.5,2.0,3,3
110CYL200_1290_1428,dev,2.3,3.0,2.8,"With unemployment at its lowest point in years in central Indiana, many people still have a hard time finding meaningful employment.",0.274,0.635,0.091,-0.5574,0.1770833333333333,0.4479166666666666,-2.0,4,4
110CYL200_1569_1610,train,2.9,2.9,3.0,"Some, like Jerry, are ex-offenders.",0.0,0.615,0.385,0.3612,0.0,0.0,2.0,5,3
110CYL200_1611_1668,test,2.57,3.0,3.0,"Some are blind, deaf or have other physical disabilities.",0.252,0.748,0.0,-0.4019,-0.2083333333333333,0.3948412698412697,-3.0,4,4
110CYL200_1675_1703,train,2.2,3.0,2.7,More than 100 were homeless.,0.0,1.0,0.0,0.0,0.5,0.5,-2.0,4,2
110CYL200_1710_1804,train,3.4,3.3,3.2,"But Goodwill offers hope even to people with numerous obstacles to overcome, like Jerry.",0.158,0.512,0.33,0.5719,0.0166666666666666,0.1666666666666666,5.0,3,3
110CYL200_1805_2047,train,3.5,3.1,3.4,"With a promising new job at a plastic injection molding manufacturer, his legal troubles in check and a safe place to live, Jerry can get on with the business of building a life for himself and contributing to his community.",0.071,0.76,0.169,0.4767,0.2345454545454545,0.4309090909090908,0.0,3,3
110CYL200_18_32,train,3.0,2.9,3.1,"March 17, 2000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL200_2048_2113,dev,3.0,2.8,2.9,"For as long as he needs it, Goodwill will continue to help.",0.0,0.803,0.197,0.4019,-0.05,0.4,5.0,3,3
110CYL200_210_382,train,2.7,3.1,2.9,"He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path.",0.28,0.72,0.0,-0.8452,-0.3749999999999999,0.3333333333333333,-5.0,4,4
110CYL200_2120_2281,train,3.5,2.8,3.1,Your support of Goodwill will provide job training and placement services to help the hardest to serve in central Indiana find meaningful employment.,0.0,0.722,0.278,0.7717,0.25,0.375,9.0,3,3
110CYL200_2282_2388,train,3.43,2.57,2.86,"And, with your assistance, Goodwill can help employers develop resources to keep workers on the job.",0.0,0.847,0.153,0.4019,0.0,0.0,5.0,3,3
110CYL200_2395_2491,train,3.29,2.86,3.29,Please make an investment in the stability of our community by sending a gift to Goodwill.,0.0,0.714,0.286,0.6369,0.0,0.0,6.0,3,3
110CYL200_2492_2541,train,3.56,3.33,3.0,Your generosity will help people help themselves.,0.0,0.315,0.685,0.8271,0.0,0.0,4.0,3,3
110CYL200_389_480,train,2.0,3.5,2.38,Reality hit when he was unable to reconcile with his wife and ended up on the street.,0.0,1.0,0.0,0.0,-0.5,0.5,-2.0,4,4
110CYL200_39_65,train,3.0,2.5,3.1,"Name Address City, ST, Zip",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL200_481_588,test,3.0,3.0,3.0,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,0.0,0.9,0.1,0.25,0.0181818181818181,0.3,0.0,3,3
110CYL200_589_724,train,3.2,3.0,3.0,The Trustee referred him to the Blue Triangle where he consulted Goodwill's Career Academy staff for job search assistance.,0.0,0.9,0.1,0.25,0.0,0.1,3.0,3,3
110CYL200_731_787,train,3.3,3.0,3.0,Jerry's Goodwill caseworker found him a job immediately.,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3,3
110CYL200_788_832,train,2.5,3.25,3.0,But Jerry's troubles didn't end there.,0.444,0.556,0.0,-0.6124,0.0,0.0,-2.0,4,4
110CYL200_833_946,train,2.89,3.0,3.0,"The seasonal construction job he obtained soon ended, and he returned to Career Academy for help once more.",0.0,0.863,0.137,0.4019,0.5,0.5,2.0,5,3
110CYL200_89_209,train,3.0,2.57,3.57,"When Jerry was released from prison, he knew it would take hard work and determination to straighten out his life.",0.193,0.697,0.111,-0.25,-0.2916666666666667,0.5416666666666666,-3.0,3,4
110CYL200_947_1076,train,2.2,3.0,2.3,"Unemployed, homeless and with a prison record, Jerry now faced going back to prison for failure to pay child support.",0.404,0.5,0.096,-0.8225,-0.1583333333333333,0.15,-8.0,4,4
112C-L012_1236_1337,train,3.0,3.0,3.1,"Such fund are often used for college tuition, vocational training or a deposit on an apartment.",0.0,1.0,0.0,0.0,0.15,0.45,0.0,3,3
112C-L012_1569_1624,train,2.29,3.29,2.71,"Without private donor support, this Fund doesn't exist.",0.244,0.756,0.0,-0.3089,0.0,0.375,2.0,4,3
112C-L012_1625_1768,test,3.12,2.88,2.75,Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.,0.0,0.699,0.301,0.802,0.075,0.18125,8.0,3,3
112C-L012_184_255,dev,3.0,2.89,3.0,The young adults who leave Pleasant Run have those same feelings.,0.089,0.667,0.244,0.4767,0.2777777777777777,0.4972222222222222,2.0,3,3
112C-L012_18_31,train,3.0,2.75,3.0,"June 21, 1999",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
112C-L012_256_305,dev,2.5,2.9,2.9,Very few have family support to get them started.,0.0,0.748,0.252,0.4019,-0.26,0.13,2.0,4,3
112C-L012_312_402,dev,2.62,2.88,2.5,"Many need furniture, linens and other basic necessities to begin lives on their own.",0.0,1.0,0.0,0.0,0.24375,0.5,0.0,4,3
